artist,track_name,label,url
Delroy Edwards,Interlude,L.A. Club Resource,https://www.discogs.com/release/5711246-Delroy-Edwards-Slowed-Down-Funk-Vol-1
Novelist,When You're Around,MMMYEH,https://music.apple.com/be/album/rose-water-ep/1726854840
Nemzzz,Elevate,Nemzzz,https://www.youtube.com/watch?v=eqcX4rCZHdo
Yungwebster,Fake Love [reg+slowed],sferic,https://sferic.bandcamp.com/album/yungwebster
Honour,U&Me (decemberseventeen),PAN,https://honour2.bandcamp.com/track/u-me-decemberseventeen
Kassa Overall featuring Vijay Iyer,The Score Was Made,WARP,https://kassaoverall.bandcamp.com/album/animals
Trim,Keep Creepin,Self-released,https://trimtali.bandcamp.com/album/soulfood-volume-1
Manga Saint Hilare,Alarm Bells (feat. P Money & Jme),MoreNight,https://mangasainthilare.bandcamp.com/track/alarm-bells-ft-p-money-jme-2
President T,Taking The Piss (Skit),Self-released,https://killoffkilly.bandcamp.com/album/stranger-returns
Nappy Nina & JWords,Real Tea,Self-released,https://nappynina.bandcamp.com/album/double-down
Obito,Respect Is the Minimum,rx:tx,https://rxtx.bandcamp.com/album/the-void
Aleksi Perälä,FI3AC2382010,Self-released,https://aleksiperala.bandcamp.com/album/alithia-b
GILA,106 Slipper,Self-released,https://gila-00.bandcamp.com/album/shed-skin-pt-33
Ghetts,Double Standards (feat. Sampha),Warner,https://music.apple.com/us/album/on-purpose-with-purpose/1711311766
Kofi,Step By Step,Athens of the North,https://aotns.bandcamp.com/album/just-a-touch
Typesun,The PL (Extended Edit),Mr Bongo,https://mrbongo.bandcamp.com/album/luke-una-presents-soul-cultura
Delroy Wilson,Movie Star,Third World,https://music.apple.com/ng/song/filmstar/1242872214
Marcia Griffiths,My Love,Dub Store,https://dubstorerecords.bandcamp.com/album/my-love-my-love-version
Prophet,Insanity,Stones Throw,https://prophetla.bandcamp.com/album/wanna-be-your-man
Loose Ends,"Hangin' on a String",South Street,https://www.discogs.com/release/16896534-Loose-Ends-Hangin-On-A-String-Frankie-Knuckles-Remix
Sade,When Am I Gonna Make A Living,Epic,https://www.discogs.com/release/2249365-Sade-When-Am-I-Going-To-Make-A-Living
Creation Rebel,Conspiring,On-U Sound,https://creationrebel.bandcamp.com/album/close-encounters-of-the-third-world
Twinkle Brothers,Magnetic Enforcer,Twinkle Music,https://soundsoftheuniverse.com/sjr/product/twinkle-brothers-dub-massacre
Nmesh,風に考え,Dream Catalogue,https://nmesh.bandcamp.com/album/--2
DDSM5,Waxless,HiFDBK,https://ddsm5.bandcamp.com/album/rehearsal-zero
MMM,MMM Meets Tshetsha Boys,Honest Jon's,https://honestjonsrecords.bandcamp.com/album/shangaan-shake-3
Appleblim,Girder,Skull Disco,https://samshackleton.bandcamp.com/album/soundboy-punishments
Morphology,In Sanity,Exalt,https://exaltrecords.bandcamp.com/album/exalt-records-the-end-triple-vinyl-edition
Sunareht,Cyber Suit Suna,LUCKYME,https://sunareht.bandcamp.com/album/youth-ep
Skream,Summer Dreams,Tempa,https://music.apple.com/gb/album/summer-dreams/1419698837?i=1419699142
Al Wootton,Lerzin,Livity Sound,https://alwootton.bandcamp.com/album/snake-dance-e-p
Polygonia,Hamadryas Amphinome,QEONE,https://polygonia.bandcamp.com/album/living-patterns
Cameo Blush,clearcutter,unknown untitled,https://unknownartist001.bandcamp.com/album/in-cadence-ep-uu001
Bakongo,Thirteen,Trule,https://bakongo.bandcamp.com/album/thirteen-level-cowbell
JME,96 Bars of JME,BBK,https://music.apple.com/gb/album/96-bars-of-jme/1168957627?i=1168958594
Mia Koden,Hot Take,Self-released,https://miakoden.bandcamp.com/album/hot-take-i-did
LWS,Seriously Soda (Sugar Free Mix),N-FACE,https://n-face.bandcamp.com/album/by-hook-or-by-crook-n-face002
klaus,Sabz,Tanum,https://klausmuzik.bandcamp.com/album/tnm005
