artist_name,track_name,label,url
Klein,black star,Self-released,https://klein1997.bandcamp.com/album/star-in-the-hood
Hagan,My Love (ft. Meron T),Python Syndicate Music,https://hagan.bandcamp.com/album/textures
Aksel & Aino,Dreamweaver,PUBLIC POSSESSION,https://boomkat.com/products/dreamweaver-d4cee9c4-e9e2-4838-986b-e13c2b48e9bb
Ikonika,Love Games (Alt Mix),self-released,https://ikonika.bandcamp.com/album/rarities-vol1-2011-2019
The Cat's Miaow,Not Like I Was Doing Anything,World of Echo,https://thecatsmiaow.bandcamp.com/album/songs-94-98
IZCO,SAY U MI LUV LIFE,Self-released,https://izco.bandcamp.com/album/big-summa-22
Al Cisneros,Dabby You,pressure,https://boomkat.com/products/al-cisneros-vs-the-bug-rosin?taxon_id=447
Lee Fields,Two Jobs,Daptone Records,https://boomkat.com/products/two-jobs
Galcher Lustwerk,Americano,White Material,https://galcherlustwerk.bandcamp.com/album/into-tha-shadow
Boris Gardiner,Mine Dub,Now-Again,https://honestjons.com/shop/artist/Boris_Gardiner/release/Ultra_Super_Dub_Vol_1
Moor Mother,SO SWEET AMINA (feat. Justmadnice & Keir Neuringer),ANTI,https://moormother.bandcamp.com/album/jazz-codes
Jianbo, Mongkok Madness (ft. Henry Wu),self-released,https://jianbo.bandcamp.com/album/yellow-peril
Syymz X E-Fit X TripSixVivo,Little Bit,Ugly Corners,https://www.uglycorners.com/
George Riley,Delusion,PLZ Make It Ruins,https://georgeriley.bandcamp.com/album/running-in-waves
Ela Minus and DJ Python,Pájaros en Verano,Smugglers Way,https://boomkat.com/products/d9f6b044-b443-4b43-8a96-418c5fad18b2
Om Unit, Dedication (Original Mix),Nebula Music Group,https://bleep.com/release/321000-om-unit-return-of-the-lightworker-dedication
Pabi Cooper,Waga Bietjie feat. Mellow & Sleazy,Cooper Entertainment,https://www.beatport.com/track/waga-bietjie-feat-mellow-sleazy/16914695
The System,Find It In Your Eyes,Music from Memory,https://music-from-memory.bandcamp.com/album/the-system-ep
Schlepp Geist,Karma Seq,Feines Tier,https://boomkat.com/products/multi-tool-ep-5c132326-feca-4dd4-be92-7e93c4920679
DJ Deep & Roman Poncet,Exsurgence (Percussive Mix),Tresor,https://boomkat.com/products/exsurgence
Leonce,Sagittarius,Morph Tracks,https://leonce.xyz/album/sagittarius
DJ SWISHA,FREAKBODY,Juke Bounce Werk,https://djswisha.bandcamp.com/album/freakbody
DJ Scriby, S3,HAKUNA KULALA,https://hakunakulala.bandcamp.com/album/the-gqom-trilogy
Anish Kumar,Ananda,self-released,https://anishkumarmusic.bandcamp.com/album/bollywood-super-hits
akash91,Skanker 91,Self-released,https://akash91.bandcamp.com/album/akash-91-edits
Shanti Celeste,Shimmer,Hessle Audio,https://shanticeleste.bandcamp.com/album/cutie-shimmer
Drexciya,Lost Vessel,Tresor,https://tresorberlin.bandcamp.com/album/neptunes-lair
MODE_1, Unheard,Knotweed Records,https://philippepetit.bandcamp.com/album/kw049-reactor
Joy Orbison & Overmono feat. ABRA,Blind Date (Full Length),XL Recordings,https://overmono.bandcamp.com/track/blind-date
Hodge,Where I Wanna Be,Two Moons,https://hodgebristol.bandcamp.com/album/sub-100
drexell,chilla-tech,self-released,https://drexell.bandcamp.com/album/lost-dat-album
Jessy Lanza,Giddy, Hyperdub,https://boomkat.com/products/pull-my-hair-back
Dawuna,baby boy,Self-released,https://dawuna.bandcamp.com/album/ep-1
