artist,track_name,label,url
TEREKKE,Evaporain,TERRY PLANET,https://terekke.bandcamp.com/track/evaporain
Loidis,Why Do,Incienso,https://huercosplonk.bandcamp.com/album/one-day
Lemmi Ash,Presence,Thinner Groove,https://thinnergroove.bandcamp.com/album/-
OHM Series,07,OHM Series,https://ohmseries.bandcamp.com/album/ohm-series-digital-7
Mark Hawkins,Together,X-Masters,https://x-masters.bandcamp.com/album/mark-hawkins-time-space
Ali Berger,Like I used to do before the music industry poisoned my brain (normal mix),TRACKLAND,https://trackland.bandcamp.com/album/filling-up-an-entire-tape-with-drum-machines-to-hopefully-feel-better
ddwy,Spinning Stones,Public Possession,https://ddwy.bandcamp.com/album/spinning-stones
Loidis,Sugar Snot,Incienso,https://huercosplonk.bandcamp.com/album/one-day
Gari Romalis,City Under Siege,GRE Productions,https://greproductionsllc.bandcamp.com/album/detroit-sync
System Exclusive,Let's Climb (Glad You Made It Dub),Terrestrial Funk,https://boomkat.com/products/summertime-5839a5f2-23be-4fef-b9c2-934d8a682c07
ABILITY II,Pressure (Luca Lozano Remix),Major Problems,https://lucalozano.bandcamp.com/track/ability-ii-pressure-luca-lozano-remix
Viggo Dyst,Distans,Shall Not Fade,https://shallnotfade.bandcamp.com/album/8-years-of-shall-not-fade
TRAUMER,DON'T STAHP,Berg Audio,https://bergaudio.bandcamp.com/track/traumer-dont-stahp
DHS,Hypnosis,Underground Assault,https://dimensionalholofonicsound.bandcamp.com/album/mind-control-ep
CCL & Ciel,Tilda's Goat Stare (Priori Remix),naff recordings,https://naffrecordings.bandcamp.com/album/tildas-goat-stare
Steve O'Sullivan,Tribal Dub,Phonogramme,https://steveosullivan-mosaicrecords.bandcamp.com/album/tribal-dubs
Facta,De Oost,Wisdom Teeth,https://facta.bandcamp.com/album/so-is-the-sun
DJ Anderson Do Paraiso,"MTG Surtante do Queridão 2.0 (feat. Mc Pânico, Mc Magrinho, Mc Myres)",Nyege Nyege Tapes,https://nyegenyegetapes.bandcamp.com/album/paraiso-sombrio
De Schuurman,Raw,Nyege Nyege Tapes,https://nyegenyegetapes.bandcamp.com/album/bubbling-forever
Silas,Make It Happen,Sneaker Social Club,https://silasoxf.bandcamp.com/album/wot-ep
Steve O'Sullivan,No Aura,Phonogramme,https://steveosullivan-mosaicrecords.bandcamp.com/album/tribal-dubs
Stefan Ringer & Marquinn Mason,Lead Walk,Eglo,https://eglorecords.bandcamp.com/album/bounce-lesson
James Bangura,The District,Numbers,https://jamesbangura.bandcamp.com/track/the-district
ORLANDO VOORN,No Cellphones,KOMPAKT,https://orlandovoorn2.bandcamp.com/album/no-cellphones-ep
Luke's Anger,Choplifter,Co-Accused,https://co-accused.bandcamp.com/album/cr006-va
Regal86,Sensations (A-AA),Self-released,https://regal86.bandcamp.com/album/sensations
Ben Hauke & Brother Portrait,UNIVERZ,!K7,https://benhauke.bandcamp.com/album/club-cute
