artist_name,track_name,label,url
The Spaceape,Up in Flames,self-released,The Spaceape,Up in Flames
Speakers Corner Quartet,Geronimo Blues (feat Kae Tempest),OTIH Records,https://boomkat.com/products/further-out-than-the-edge
Innerzone Orchestra,People Make The World Go Round,
Klara Lewis & Nik Colk Void,Guitar Hero,Alter,https://boomkat.com/products/full-on-0494103e-95ba-4999-a65e-bb0d186620eb
King Krule,Wednesday Overcast,Matador Records,https://kingkrule.bandcamp.com/album/space-heavy
Freak Heat Waves,Altered States,Mood Hut,https://freakheatwaves.bandcamp.com/album/mondo-tempo
K-Lone,Strings,Wisdom Teeth,https://k-lone.bandcamp.com/album/swells
Lily Haz,Eifo Ha'Atid,Tofistock,https://boomkat.com/products/jealous-hours?taxon_id=107775
Jackie Mittoo,Black Organ,Soul Jazz Records,https://boomkat.com/products/keyboard-king-at-studio-one?taxon_id=107777
WAAJEED,Rouge (12 Version),Tresor,https://waajeed.bandcamp.com/album/memoirs-of-hi-tech-jazz
Silvestre,Night Bus to Peckham,Padre Himalaya,https://boomkat.com/products/resina-05553e82-7c75-4e15-a5a3-dc1f0b155844
Valentina Magaletti and Zongamin,Bites (feat. Coby Sey),AD 93, https://ad93.bandcamp.com/album/suono-assente
Loraine James,Déjà Vu ft. RiTchie,Hyperdub,https://lorainejames.bandcamp.com/album/gentle-confrontation
DJ Danifox,Chopper,Príncipe,https://principediscos.bandcamp.com/track/chopper
Kassa Overall and Theo Croker,The Lava Is Calm,Warp Records,https://boomkat.com/products/animals-98d8fc79-c8fb-46b2-ad96-e48e9426f3a8
Samrai & LINTD & Gavsborg & Joey B,Fresh,Sangha Industries,https://deejaysamrai.bandcamp.com/album/work-roti
J Hus,Militerian (feat. Naira Marley),Black Butter Records,https://music.apple.com/gb/album/beautiful-and-brutal-yard/1693862339
Gaika,PIÑATA,Big Dada,https://gaika.bandcamp.com/album/drift
Inner Dynasty,A1,Inner Dynasty,NA
Bobby Blackbird,Shanique is 5 mins away,MAL Recordings,https://malrecordings.bandcamp.com/album/pressure-part-i
Michael J. Blood & Sockethead,SEATBELTS IN THE MERC BLOOD,https://boomkat.com/products/eating-late
ARTHUR RUSSELL,Fuzzbuster #06,Audika Records,https://arthurrussell.bandcamp.com/album/picture-of-bunny-rabbit
African Head Charge and King Ayisoba,A Bad Attitude,On-U Sound,https://boomkat.com/products/a-bad-attitude
Jasaro People,Suffering,333,https://boomkat.com/products/suffering-9e0cf6a4-38c9-4135-8a07-d2846ffcdf4b
Errol Dunkley,A Little Way Different,Arawak,https://dennisbovell.bandcamp.com/album/arawak-label-showcase
Alpha and Omega,Shashamani,Partial Records,https://partialrecords.bandcamp.com/album/shashamani
Jumping Lion Sound meets Roots Powa,Foundation Style,Musical Riot,https://musicalriot.bandcamp.com/album/jumping-lion-sound-meets-roots-powa-foundation-style
Landstrumm,Aintgotnojob,Swamp 81,https://boomkat.com/products/minimoo-aintgotnojob
Special Request,Silver (feat. Novelist),Gudu Records,https://boomkat.com/products/silver-3c932154-7ba3-4179-94ea-3060b07fb63e
Y U QT,She's a ten but...Dub,self-released,https://yuqt.bandcamp.com/track/shes-a-ten-but-dub
Pépe,Act II. Chasten,Lapsus Records,https://pepmanpepe.bandcamp.com/album/reclaim
Jan Jelinek,Drift,FAITICHE,https://boomkat.com/products/loop-finding-jazz-records
x or size,Whirled Why,Good Morning Tapes,https://goodmorningtapes.bandcamp.com/album/x-or-size-aether-ore
Refreshers,Bugged,Refreshers,https://refreshers.bandcamp.com/album/bugged
Moin,Pockets,AD 93,https://boomkat.com/products/clocked-off
Baba Stiltz,Wild Ride,Public Possesion,https://babastiltzofficial.bandcamp.com/album/paid-testimony
Clancy Eccles,Freedom,Studo One,https://boomkat.com/products/coxsone-s-dramatic-and-music-centre
