artist_name,track_name,label,url
Tonto,Monstera,Cong Burn,https://congburn.bandcamp.com/album/cong-burn-07
Mansur Brown,Rise,AMAI,https://mansurbrown.bandcamp.com/album/naqi-vol-1
John FM feat. ZelooperZ,White Science,XL Recordings,https://johnfm.bandcamp.com/track/white-science
Hudson Mohawke,Some Buzz,Warp,https://hudsonmohawke.bandcamp.com/album/cry-sugar
Kode9,Lagrange Point,Hyperdub,https://kode9.bandcamp.com/album/escapology
Sudan Archives,OMG BRITT,Stones Throw,https://sudanarchives.bandcamp.com/album/natural-brown-prom-queen
Mount Kimbie,in your eyes,Warp,https://mountkimbie.bandcamp.com/album/mk-35-in-your-eyes-a-deities-encore-q-quartz
Off The Meds,WOF,Studio Barnhus,https://studiobarnhus.bandcamp.com/album/best-off
Benedek,In the Air (ft. AKUA),Apron Records,https://benedek.bandcamp.com/track/in-the-air-ft-akua
Karen Nyame KG,Taboo,,https://karennyamekg.bandcamp.com/
Local Artist,Neo Wise,Mood Hut,https://localartist.bandcamp.com/album/expanding-horizons
Saul,Lifted,Rhythm Section International,https://wearerhythmsection.bandcamp.com/album/mutualism
El-B,The City Never Sleeps,GD4YA,https://gd4ya.bandcamp.com/album/the-city-never-sleeps-bizzy-4-lizzy-midnight
WAAJEED,Motor City Madness (Edit),Tresor Records,https://waajeed.bandcamp.com/album/motor-city-madness
Seven Davis Jr.,follows (sunday service edit),Self-released,https://sevendavisjrmusic.bandcamp.com/album/siete-edits-round-one
cktrl,yield,Touching Bass,https://cktrl.bandcamp.com/album/yield-ep
Leonce,Entropic,Morph Tracks,https://leonce.xyz/album/banana-runtz
Loefah x Snowy,Lucky Charms,Self-released,https://loefahproductions.bandcamp.com/track/lucky-charms
JD. REID,OI IT CAN'T BE ICE,Self-released,https://jdreid.bandcamp.com/album/edits-5
Shy One,Bird Bop,Eglo,https://shyone.bandcamp.com/album/from-the-floor-to-the-booth
NOIRE,Finsbury Bounce,Self-released,https://noireuk.bandcamp.com/album/noire-unreleased-funky-2015-2021
Main Phase,Who That,Hardline,https://hardlinesounds.bandcamp.com/album/hard08
INVT,CHONGA CONGA,Self-released,https://invt.bandcamp.com/album/m-xima-velocidad
Chloé Robinson + DJ ADHD,Steamin,Pretty Weird,https://pretty-weird.bandcamp.com/track/steamin
UNiiQU3,Touch (Leonce Remix),Local Action,https://uniiqu3.bandcamp.com/album/touch-leonce-remix
Bakey,Aftersun Dub,Self-released,https://bakeymusic.bandcamp.com/album/maximum-dub-sunshine-dub-bd01
Nikki Nair,It's NP-Complicated,Astrophonica,https://nikkinair.bandcamp.com/album/renormalization-support-group
Pessimist,Danger,AD 93,https://ad93.bandcamp.com/album/blue-09
Hudson Mohawke,Tincture,Warp,https://hudsonmohawke.bandcamp.com/album/cry-sugar
Dizzee Rascal,I Luv U (Fear-E's Look Sharp Remix),Posh End Music,https://fear-e.bandcamp.com/track/dizzee-rascal-i-luv-u-fear-es-look-sharp-remix
THUGWIDOW & Bruised Skies,Blimey,Hooversound Recordings,https://hooversoundrecordings.bandcamp.com/album/blimey-2
Off The Meds,Talmode,Studio Barnhus,https://studiobarnhus.bandcamp.com/album/best-off
JD. REID,WHEN I'M IN YOUR AMA,Self-released,https://jdreid.bandcamp.com/album/edits-5
Rabit,MEGAN_MOMENTS_IN_LOVE_FREESTYLE,Self-released,https://gangstalkers.bandcamp.com/album/kold-summer
K-LONE,Batucada,Wisdom Teeth,https://k-lone.bandcamp.com/album/k-lone-sine-language
Dj Python,Todo Era Azul (Versio n Afuera),Incensio,https://djpythonnyc.bandcamp.com/album/dulce-compa-ia
Parris,springtime flows in three ways,Air Texture,https://airtexture.bandcamp.com/album/air-texture-viii?from=embed
