artist,track_name,label,url
Bitter Babe & Nick León,Ecotone,Air Texture,https://airtexture.bandcamp.com/album/air-texture-viii
JD. REID,plug,Baby Gravy,https://jdreid.bandcamp.com/album/sometimes-i-wonder-001
AceMo,Ancestor Beat,Self-released,https://acemo.bandcamp.com/album/unreleased-trax-vol-1
Al Wootton,Tone Circle,TRULE,https://alwootton.bandcamp.com/album/river-songs
Peverelist,Pulse XII,Livity Sound,https://peverelist.bandcamp.com/album/pulse-phase-e-p
Bored Lord,Vernal,Self-released,https://boredlord.bandcamp.com/album/wings
Ivy Lab,OURDOGISMISSING,Sneaker Social Club,https://ivylab.bandcamp.com/album/ourdogismissing
Sumgii,Possible,Swamp 81,https://swamp81.kudosrecords.co.uk/release/sw1/sumgii-soon-come
DJ Qu,Soul Thing,Hotmix,https://hotmixrecords.bandcamp.com/album/dj-qu-dance-to-my-ministry-ep
GALCHER LUSTWERK,Original Coolest Driver's High,Ghostly International,https://galcherlustwerk.bandcamp.com/album/lustwerk-iii
Marli,Jungle Tool,ILIO,https://iliorecords.bandcamp.com/album/marli-mood-independent
WAX,90009A,WAX,https://wax10001.bandcamp.com/album/wax90009
Mike Parker,Amalgamated (Synchronous Mix),Geophone,https://mikeparker.bandcamp.com/album/amalgamated
BFTT,Way U Do,YCO,https://bftt.bandcamp.com/album/horsin-around
Sandwell District,Sampler 1 B1 with Silent Servant (Regis Edit),PIAS,https://silent-servant.bandcamp.com/track/sampler-1-b1-regis-edit
Brian Harden,Simon's Revenge,CCE,https://dbh-music.bandcamp.com/album/cce034
MJK & Impey,High Konga,Obligated,https://obligatedrecords.bandcamp.com/album/obligated-records-vol-1
Versalife,Axon Terminal,Conforce,https://conforce.bandcamp.com/album/technofeudalism-ep
JR Disc,THRUST,Detroit Basics,https://detroitbasics.bandcamp.com/album/thrust
Nikki Nair,Sugar Kingdom,LUCKYME,https://nikkinair.bandcamp.com/album/snake-ep
Dj Babatr,The Journey,Paryìa,https://djbabatr.bandcamp.com/album/the-journey
Parris,Passionfruit,can you feel the sun,https://parris.bandcamp.com/album/passionfruit-ep
Doctor Jeep & Hedchef,Hammerhead,Worst Behavior,https://doctorjeep.bandcamp.com/album/deep-red
Love Letters,Tore,Interdimensional Transmissions,https://lovelettersmusic.bandcamp.com/album/falling-star-ep-it-54
Boulderhead,Sense Hyper,Rhythm Section,https://boulderhead.bandcamp.com/track/sense-hyper
Aleksi Perälä,FI3AC2411505,Self-released,https://aleksiperala.bandcamp.com/album/children-of-light-15
Paul Rêve,ErrorDialog,PRISME,https://soundcloud.com/ovelhatrax/premiere-paul-reve-errordialog-prisme-label
Vince Grave,Control,Eleven One One,https://elevenoneonemusic.bandcamp.com/album/control-ep
Jossy Mitsu,Charmz,Obligated,https://obligatedrecords.bandcamp.com/album/obligated-records-vol-1
Dolo Percussion,DOLO 30,Future Times,https://futuretimes.bandcamp.com/album/dolo-6
Ben Pest X Kursa,Totally Kippered,Self-released,https://kursa.bandcamp.com/album/hide-rate
The Greys,Nekravol Pt. 2,Self-released,https://thegreysuk.bandcamp.com/album/nekravol
Skee Mask,Hölzl Was A Dancer,Ilian Tape,https://iliantape.bandcamp.com/album/itlp19-resort
