artist_name,track_name,label,url
Mosca,You Won't Stop In Time,RENT,https://rent.bandcamp.com/album/mould-on-velvet
re:ni,Don't Go Dark,Ilian Tape,https://iliantape.bandcamp.com/album/itx023-revenge-body
Sobolik,Iris (Cacti Dub),All Centre,https://allcentre.bandcamp.com/album/iris
Pawel’s Bar,Refresh Recycle,KAME HOUSE,https://pawelsbar.bandcamp.com/album/pawel-s-desert-trip
Jeremy Sylvester,Downtown (Mix1),GPL,https://jeremysylvester.bandcamp.com/album/deep-cover-back-once-again-e-p
DJ SWISHA & OSSX,Luvli Dae :),Self-released,https://djswisha.bandcamp.com/album/heard-u-ep
P. J. Swerve,Down with the Underground,Self-released,https://hueymnemonic.bandcamp.com/track/down-with-the-underground
Loefah,Shame 2,Self-released,https://loefahproductions.bandcamp.com/track/shame-2
FKA Twigs,lightbeamers,Atlantic,https://fkatwigs.bandcamp.com/album/caprisongs
Trim & Cubby,RoadWorks Pt 2 - 2 Bars,Self-released,https://trimtali.bandcamp.com/track/2-bars-2
DJ Python,TMMD (IMMMD),Incienso,https://djpythonnyc.bandcamp.com/album/club-sentimientos-vol-2
BSS,Domela,Dekmantel,https://bssdiscography.bandcamp.com/album/suikerplein-ep
Cassius Select,Mess Mutual,BRUK,https://cassiusselect.bandcamp.com/album/shake-like-me
Geo Rip,Underwater Bodycam,TTT,https://thetrilogytapes.bandcamp.com/album/geo-rip-ep
Actress,Gaze,Werk Discs,https://actress.bandcamp.com/album/ghettoville
Blawan,Gosk,XL,https://blawan.bandcamp.com/album/woke-up-right-handed
Anthony Naples,Bonk,ANS,https://anthonynaples.bandcamp.com/album/club-pez
AceMo,New Style,Self-released,https://acemo.bandcamp.com/album/castle-of-mana
Omar S Feat. SuperCoolWicked,Evergreen,FXHE,https://omar-s.bandcamp.com/album/evergreen
GEMINI,Freefall,Peacefrog,https://peacefrog.bandcamp.com/album/in-and-out-of-fog-and-lights-album
Paul Johnson,Hour Glass Figure,Peacefrog,https://peacefrog.bandcamp.com/album/bump-talkin-album
Joy Orbison,meandyou,XL,https://tossportal.bandcamp.com/album/still-slipping-vol-1
Larry Heard,Teleportation,Distance,https://www.discogs.com/release/35908-Larry-Heard-Dance-2000
Clay Wilson,ALL4U,Hit Factory Records,https://hitfactoryrecords.bandcamp.com/album/hfr-001
Florentino,Needin u,Club Romantico,https://flor3ntino.bandcamp.com/album/contrabando-vol-3
Bakongo,Ashy,Livity Sound,https://livitysound.bandcamp.com/album/molten-mirrors-a-decade-of-livity-sound
Ricardo Villalobos,Koito,Perlon,https://www.discogs.com/release/3757077-Ricardo-Villalobos-Dependent-And-Happy-Three
DJ Bone,Workings Of The Inner Circle,Subject Detroit,https://djbone313.bandcamp.com/album/a-piece-of-beyond
DJ EARL,Soulful Tip,Self-released,https://djearlteklife.bandcamp.com/album/mtxlt707-burn-yo-azz-soulful-tip
EVOL,Get That,pwgen 20,https://pwgen20.bandcamp.com/album/get-this-32-tracks-for-free-a-tribute-to-peter-rehberg
