artist_name,track_name,label,url
Grain,Ralphy,Fat Cat,https://grainfc.bandcamp.com/album/untitled-g2
Jack J,The Only Way,Mood Hut,https://jackj.bandcamp.com/album/opening-the-door
Vegyn,b ubba anusah bubba o'reiley [113.461 BPM],PLZ Make It Ruins,https://vegyn.bandcamp.com/album/dont-follow-me-because-im-lost-too
Space Ghost,Private Paradise,Pacific Rhythm,https://pacificrhythm.bandcamp.com/album/private-paradise
Piezo / Ansia,LSD Superhero,Wisdom Teeth,https://piezopz.bandcamp.com/album/lsd-superhero
Lord Echo,Thinking Of You,Soundway,https://lordecho.bandcamp.com/album/melodies-1st-album
Eliza Rose & M4A4,Temptation,Lobster Theremin,https://lobstertheremin.com/album/shades-of-red
DJ SWISHA,RIP AALIYAH,Self-released,https://djswisha.bandcamp.com/album/assorted-flavors-vol-5
Markus Mann,Attention Training,Self-released,https://markusmann.bandcamp.com/album/mmnn002
Blanco,Symmetry,Self-released,https://music.apple.com/ag/album/symmetry-single/1603349153
Baby D,Let Me Be Your Fantasy (Bored Lord edit),Self-released,https://boredlord.bandcamp.com/
Hooverian Blur,Sirens (Original Mix),Sneaker Social Club,https://sneakersocialclub.bandcamp.com/album/snkrx09
Roaming Data,Brickphone Cartel,Outhouse Sounds,https://outhousesounds.bandcamp.com/album/roaming-data-brickphone-cartel-ep-ohs012
Sister Nancy,Armageddon (Mad Professor Dub),Ariwa,https://sisternancy.bandcamp.com/album/armageddon
GRANDMIXXER,Blue Ice Ripple,Self-released,https://grandmixxer.bandcamp.com/track/blue-ice-ripple
Zenker Brothers,Enjoy Reality,Ilian Tape,https://iliantape.bandcamp.com/album/it050-hidden-shelter
Xander,Restless,Cheeky Music Group,https://cheekymusicgroup.bandcamp.com/album/restless-ep
Zed Bias & Paleman,Furrball,Swamp 81,https://www.discogs.com/release/4428458-Zed-Bias-Paleman-Furrball-Boiler
Priori,Gauze,Self-released,https://prioricamp.bandcamp.com/album/relation-to-light
Evan Baggs,Elixir,Faith Beat,https://faithbeat.bandcamp.com/album/faith-beat-05-the-no-illusion-ep
Ice Wing,HyperCubed,CloudCore,https://cloudcore.bandcamp.com/album/hypercubed
OSSX,BIG YAWN,Self-released,https://ossx.bandcamp.com/album/check-engine-ep
Voiski,Nouvelle Vague,Shaytoon Records,https://shaytoonrecords.bandcamp.com/album/sounds-from-the-iranian-ultraverse
Forest Drive West,100m,Echocord,https://echocord.bandcamp.com/album/recursion-ep
RHR,Proibidão,Tijolo Records,https://rhrmusiq.bandcamp.com/album/linha-de-of-cio-93-13
Gesloten Cirkel,Quiker,SolarOneMusic,https://solaronemusic.bandcamp.com/album/185
Loefah,Shame 2,Self-released,https://loefahproductions.bandcamp.com/track/shame-2
Ingi,Kurt (Original Mix),Scuffed Recordings,https://ingi.bandcamp.com/album/fade-ep
Shelley Parker,Deluge,Hypercolour,https://hypercolour.co.uk/album/wisteria
rrao,Tell Me,SLINK NYC,https://slinknyc.bandcamp.com/album/slink-volume-2
Lyric Hood,11.44 (AM Version),M-Plant,https://m-plant.bandcamp.com/album/woman-hood-chapter-1-ep
Robert Hood,Still Hear,Music Man,https://hardwax.com/52432/robert-hood/hoodmusic-2/
DJ Finn,Everything Is Alright,Self-released,https://finnmccorry.bandcamp.com/album/everything-is-alright
