artist,track_name,label,url
Wailing Souls,Kingdom Rise Kingdom Fall,VP Records,https://vprecordsofficial.bandcamp.com/album/down-in-the-dub-vaults
Addis Pablo & Derrick Sound,Bright Star,Evidence Music,https://evidencemusic.bandcamp.com/album/bright-star-dub
Frankie B,Pressure Me,333,https://boomkat.com/products/pressure-me
Lone Ranger,Trod Along,Jah Guidance, https://www.discogs.com/release/2744977-Lone-Ranger-Trod-Along
Upsetters,Long Time Dub,Roots Vibration,https://shop.lionvibes.com//Long-Long-Time-Long-Time-Dub/Winston-Heywood-The-Upsetters/73224/
Sister Nancy,Only Woman DJ With Degree,Techniques,https://www.discogs.com/release/1166807-Sister-Nancy-One-Two
Prince Jazzbo,Replay Version,Basic Replay,https://boomkat.com/products/replay-version
Healing Force Project,Water Flea,Soundscape Versions,https://soundscapeversions.bandcamp.com/album/healing-force-project-primitivism-masks
Gaika,FIRST AMONG MISFITS (FT THE NARRATOR),Big Dada,https://boomkat.com/products/drift-1f50374c-bb78-4bc4-b853-3eca3b6215d7
Rhythm & Sound,Mash Down Babylon (w/ The Chosen Brothers),Burial Mix,https://hardwax.com/41897/rhythm-and-sound-w-chosen-brothers/mash-down-babylon/
Singing Sweet,When I See You Smile,Colin Fat Records,https://www.discogs.com/release/2349948-Singing-Sweet-When-I-See-You-Smile
Budgie,Send It,self-released,https://budgiefirebeats.bandcamp.com/album/late-summer-soakers-dx
Danger Mouse & Jemini,Brooklyn Bazquiat,Lex Records,https://dangermousejemini.bandcamp.com/album/born-again
Ninja Kidsoul, agajon - Gap Shit (-2 semitones),abul Fire Records,
soltura,Whip,MAL Recordings, https://malrecordings.bandcamp.com/album/pressure-part-ii
Knucks & Larry June & Kenny Beats,I Suppose, No Days Off Ltd, https://music.apple.com/gb/album/i-suppose-single/1698210344
Frisco & INFAMOUSIZAK,Something Different (feat. Chip),The Den Records,https://music.apple.com/gb/album/winning-team/1705838050
Rat Heart, ++,Shotta Tapes,https://shottatapes.bandcamp.com/album/rat-heart
Comité Hypnotisé,Battle of the Sauces,Cortizona,https://boomkat.com/products/danza-del-piri-piri?taxon_id=107775
Kool Keith & We Are The Horsemen,London Is The Place,Outernational Sounds,https://outernationalsounds.bandcamp.com/album/london-is-the-place
Theo Parrish & Maurissa Rose,Free Myself,Sound Signature US,https://bleep.com/release/391342-theo-parrish-maurissa-rose-free-myself
TIRZAH,No Limit,Domino Recording Co, https://boomkat.com/products/trip9love
Ziur & Juliana Huxtable,99 Favor Taste,Hakuna Kulala,https://hakunakulala.bandcamp.com/album/eyeroll
Lipelis,Rumours (ft. Emotional Blackmail), L.I.E.S, https://www.discogs.com/release/7398141-Lipelis-Lipelis-Edits
At One,Could You Be? (feat. Sabrina Chyld),Atjazz Record Company,https://atonesound.bandcamp.com/album/could-you-be-feat-sabrina-chyld
Jamma Dee,Jamma's Jam ft Mndsgn & Swarvy,NBN Archives,https://jamma-dee.bandcamp.com/album/perceptions
Metamatics,Dentosen (Shit HotPod) (Rewired By Yasume),Hydrogen Dukebox,https://boomkat.com/products/rewired-in-my-manor
Lipelis & Arsenii pres. Normal Position - Be Honest (Extended Mix),[Emotional] Especial,https://emotional-especial.bandcamp.com/album/be-honest
75 DOLLAR BILL,15 (YASI),self-released,https://75dollarbill.bandcamp.com/album/power-failures
Monty Luke,Bomb On Bomb (Gerd's NY Stomp Remix),Black Catalogue,https://mluke.bandcamp.com/album/black-catalogue-rewinds-001-bomb-on-bomb-2018
Escaflowne,M1 Track,self-released
Guy Evans / DJ Guy,Dreaming Feat. Margie M.,self-released,https://guyevans.bandcamp.com/album/inspiration-dance
BFTT,Seems,worldwide unlimited,https://bftt.bandcamp.com/album/thp
