artist_name,track_name,label,url
Ceephax Acid Crew,Newsround,Self-released,https://ceephax.bandcamp.com/album/box-steady
Paul Mac,A Certain Era,Beard Man,https://www.beatport.com/release/essex-acid-ep/836369
Nitzer Ebb,Control I’m Here (Strategic Dance Floor Initiative Mix),Mute,https://www.discogs.com/release/448536-Nitzer-Ebb-Control-Im-Here-Edition-Number-Two-Strategic-Dancefloor-Initiative
Peverelist,Grit,Livity Sound,https://peverelist.bandcamp.com/album/undulate-grit-2
Loefah,Root,DMZ,https://loefahproductions.bandcamp.com/track/root
Mala,"I Wait, Part II",Self-released,https://mala-music.bandcamp.com/album/i-wait-part-ii
Burial,South London Boroughs,Hyperdub,https://burial.bandcamp.com/album/burial-south-london-boroughs-hdb001
Plastician,Funeral Vibes,Self-released,https://plastician.bandcamp.com/album/deep-in-the-drives
Kozzie,Riding Out,No Hats No Hoods,https://nohatsnohoods.bandcamp.com/album/the-problems-started
Nammy Wams,Afrodrill,Boxed,https://boxedldn.bandcamp.com/album/boxed-mmxx
East Man,Darkage,Self-released,https://eastmanuk.bandcamp.com/album/eastern-code
Youngsta,Destruction,Tempa,https://www.beatport.com/release/destruction-poseidon/2356174
The Prodigy,Weather Experience (Top Buzz Remix),XL,https://www.beatport.com/release/wind-it-up-rewound/3118479
SMD,Untitled A,SMD,https://www.discogs.com/release/40662-SMD-1
Squarepusher,Snake Pass,Warp,https://squarepusher.bandcamp.com/album/selection-sixteen
Rude Kid,Get Busy,Relentless Records,https://music.apple.com/gb/album/get-busy-feat-skepta-single/535446937
Jeff Mills,Alarms (Ben Sims Remix 1),Axis,https://www.discogs.com/release/207255-Jeff-Mills-Alarms-Ben-Sims-Remixes
Benga,808,Tempa,https://www.beatport.com/release/phaze-one/242113
Theo Nasa,Vibe Invaders,Rekids,https://rekids.bandcamp.com/album/radio-slave-presents-actualize-part-1
Merky Ace,Reason,Self-released,https://music.apple.com/gb/album/blue-battlefield/1259273913
Section Boyz,Flashy Things,Self-released,https://music.apple.com/ca/song/1034515109
Giggs,Tempa Tempa,Spare No1 Productions,https://www.discogs.com/release/3720421-Giggs-Giggs-Starring-In-Walk-In-Da-Park
Tirzah,Reach,Domino,https://tirzah.bandcamp.com/album/devotion
The Spaceape,On the Run,Self-released,https://www.discogs.com/release/4040906-The-Spaceape-Xorcism
From Nursery To Misery,Poison,Dark Entries,https://fromnurserytomisery.bandcamp.com/album/tree-spirits
El-B,Wooly Road Creep,GD4YA,https://gd4ya.bandcamp.com/album/southside-summer-wooly-road-creep-love-life-lost
Mark Broom & James Ruskin,The Metal Man,Blueprint,https://jamesruskin.bandcamp.com/album/no-time-soon-ep
ARTWORK,Acid Lines,Self-released,https://artwork.bandcamp.com/album/let-go-of-this-acid
Osunlade,Momma's Groove (Jimpster's Slipped Disc Mix),Strictly Rhythm,https://www.beatport.com/release/mommas-groove/2068378
Novelist,WE ARE ONE,Self-released,https://novelistguy.bandcamp.com/album/quantum-leap
Charli XCX,visions,Atlantic,https://music.apple.com/us/album/how-im-feeling-now/1513162098
Skream,Emotionally Mute (Outro),Tempa,https://www.beatport.com/release/skream/204285
Renegade,Terrorist (P.A. Mix),Dread Recordings,https://www.beatport.com/release/past-present-future/1983798
