artist_name,track_name,label,url
Astrud Gilberto ,Ponteio,CTI Records,https://www.discogs.com/release/3592041-Astrud-Gilberto-with-Stanley-Turrentine-Gilberto-Con-Turrentine
THE SKATALITES,Guns of Navarone,Sould Jazz Records,https://boomkat.com/products/guns-of-navarone-1ecbc9d2-2a67-472b-a457-100cd3b0aed2
Lord Echo,Be Thankful,Soundway Records Ltd,https://boomkat.com/products/rarities-2010-2020-japanese-tour-singles?taxon_id=107777
Prince Jazzbo,Replay,Death Is Not The End,https://deathisnot.bandcamp.com/album/replay
Anant Pradhan & Larry McDonald,It Had Better Be Tonight,Names You Can Trust,https://nyctrust.bandcamp.com/album/sallys-song
Clue J And The Blues Blasters,Beeston Street Riff,Studio One,https://studioone.bandcamp.com/album/coxsones-dramatic-and-music-centre
Tapes,Parrot Samba, Jahtari,https://jahtari.bandcamp.com/album/funk-plates-vol-1
HORTENSE ELLIS,People Make The World Go Round Version,Sould Jazz Records,https://boomkat.com/products/people-make-the-world-go-round-1f93abf7-b31c-482d-a317-675b36e28450
Nines,F**k The Worl (feat. Kojey Radical & Tiggs Da Author),Zino/Warner,https://store.ninesofficial.com/gb/nines/music/crop-circle-2-standard-cd/5054197300011.html
Jabee,Enough,Clerestory AV,https://iamjabee.bandcamp.com/album/am-i-good-enough
Nikson,al kua,RX:TX,https://bleep.com/release/386538-nikson-lfo-ufo-2
Kassa Overall featuring Danny Brown and Wiki,Clock Ticking,Warp Records,https://boomkat.com/products/animals-98d8fc79-c8fb-46b2-ad96-e48e9426f3a8
J. Albert & Will August Park,Residuals,29 Speedway,https://boomkat.com/products/flat-earth-97b3a891-f11d-4bd5-b6c4-b59740c29871
Klein,redemption tour,Parkwuud Entertainment,https://klein1997.bandcamp.com/track/redemption-tour
Michael J Blood & Sockethead,TRY TO KEEP,BLOOD,https://boomkat.com/products/eating-late
REZZETT,The Goblin Has Fallen In Love,The Trilogy Tapes,https://rezzett.bandcamp.com/album/meant-like-this
Scotch Rolex & Shackleton,The Blue Sun,Silver Triplet,https://scotchrolexshackleton.bandcamp.com/album/death-by-tickling
ABC Warriors,Transformer,TSAIGUMI,https://tsaigumi.bandcamp.com/album/look-whos-stalking
Speakers Corner Quartet & Mica Levi,Karainagar,OTIH Records,https://boomkat.com/products/further-out-than-the-edge
Libianca,People (LR Groove Remix),Renk Groove Recordings,https://renkgrooverecordings.bandcamp.com/album/go-people
DJ Black Low,Thando (feat. Black R & K.Dalo & Lah Presh),Awesome Tapes From Africa,https://boomkat.com/products/impumelelo
Jitwam & Jaydonclover,hollatchu,Roya,https://boomkat.com/products/hollatchu
Ken’ichi Itoi,Singularity,dbh-music,https://dbh-music.bandcamp.com/album/plzd007-2
Zoë Mc Pherson,Lamella (Scratcha DVA Remix),SFX,https://www.beatport.com/track/lamella/17788986
Jorja Smith,Little Things (Bok's Dub),self-released,https://bokbok.bandcamp.com/track/little-things-boks-dub
Rhythm Of Paradise,In My Face,smallville records,https://smallville-records.bandcamp.com/album/smallville-60-rhythm-of-paradise-in-my-face
Omar-S & O-B-Ignitt,Wayne County Hill Cops Part 2 (Omar-S Mix),FXHE Records,https://omar-s.bandcamp.com/album/wayne-county-cops-part-2
Joe Armon Jones & Maxwell Owin, Lost In The Function,Aquarii,https://joearmon-jones.bandcamp.com/album/archetype
Omni A.M.,Can We Get,Euphoria Records,https://euphoriarecords.bandcamp.com/album/keep-doing-that
Jessy Lanza,Midnight Ontario (Dub),Hyperdub,https://jessylanza.bandcamp.com/album/midnight-ontario
Marla Kether,BTR2 ft. MADELEINE, Saffron Records,https://marlakether.bandcamp.com/track/btr2-ft-madeleine
Ron Morelli,Heart Stopper,LIES,https://liesrecords.bandcamp.com/album/heart-stopper
Tapes,Surge Funk,Jahtari,https://jahtari.bandcamp.com/album/funk-plates-vol-1
La Amarula,High Soul,self-released,https://laamarula.bandcamp.com/track/wp-original-mix
NAP,Horse Nation,NAP,https://nap92.bandcamp.com/album/nap002
Pangaea,Installation,Hessle Audio,https://pangaeauk.bandcamp.com/album/changing-channels
Ragz Originale & John Glacier,Night Cap (Neana Club Mix),Self-released,https://neana.bandcamp.com/album/destiny-rmxs
Cport Cistema,Stok,100% Silk,https://cportcistema.bandcamp.com/album/say-it
