artist_name,track_name,label,url
Death Is Not The End,Spin Offs,Death Is Not The End,https://deathisnot.bandcamp.com/album/london-pirate-radio-adverts-1984-1993-vol-2
AFK & Bludwork,Get Personal,100% Silk,https://bludwork.bandcamp.com/album/loyalty-n-service
DJ Chupacabra,Charlie (Original Mix),Dansu Discs,https://dansudiscsuk.bandcamp.com/album/the-strange-case-of-ep
Boogie e Bamboo,Zindabad!, Disco Bump / Adult Cult, https://soundmatter.bandcamp.com/album/disco-bump-005-adult-cult-001
Omar S,Strider's World, FXHE Records,https://omar-s.bandcamp.com/album/just-ask-the-lonely
DJ Narciso & Endgame,CUT, SVBKVLT,https://svbkvlt.bandcamp.com/album/nxe
RHR,B1. Muita Pose,TIJOLO Records,https://rhrmusiq.bandcamp.com/album/linha-de-of-cio-93-13
Royal-T,Gargoyle,No Hats No Hoods,https://nohatsnohoods.bandcamp.com/album/1up-or-shatap-ep
Violet,Música para passear o cão à noite,Rádio Quantica,https://quanticaonline.bandcamp.com/album/violet-transpar-ncias
Sirr TMO,Klub 813,TEKLIFE,https://teklifemusic.com/album/888-infinity
Sister Zo,Don't Test Me, Scuffed Recordings,https://sisterzo.bandcamp.com/album/screw-cheek-ep
Harrison BDP,Seeing Spiders,Dansu Discs,https://dansudiscsuk.bandcamp.com/album/virtual-resistance-ep
Law,Third Eye Shine,Repertoire,https://repertoire.bandcamp.com/album/safe-raver-002
Pearson Sound,WAD,Hessle Audio,https://music.pearsonsound.com/album/plsn-wad
Pugilist,Illumination,Banoffee Pies Records,https://pugilist.bandcamp.com/album/static
Just Will,Doing The Rounds,Fraise Records,https://fraiserecords.bandcamp.com/album/fraise-presents-mixed-fruits-va-vol-1
Shinichi Atobe,Love of plastic 8,DDS,https://boomkat.com/products/love-of-plastic
DJ Skull,Thought,Self-Released,https://djskull1.bandcamp.com/album/dirty-tracks-vol-1
LADYMONIX,Put It Up,Frizner Electric,https://friznerelectric.bandcamp.com/album/track-39-ep
Sandilé,The Jam's Still Pumpin',Self-released,https://sandile.bandcamp.com/track/the-jams-still-pumpin
Nathan Melja, Synesthesia (Pariah Remix),Kalahari Oyster Cult,https://kalaharioystercult.bandcamp.com/album/nathan-melja-synesthesia-w-anthony-naples-pariah-remixes-oyster21
MoMA Ready,And The Smooth Booty Storm,HAUS OF ALTR,https://momaready.bandcamp.com/album/and-the-quest-for-the-beyond-hoa008
Franklin De Costa,Flashmelo (2001),Self-released,https://franklindecosta.bandcamp.com/album/unreleased-pt-1-2000-2001
Random Generator,Zonepaging,Blackhand Records,https://k7records.bandcamp.com/track/zonepaging
Denham Audio,ESP,https://denhamaudiouk.bandcamp.com/album/dance-trax-vol-35
Bruce,Serotonin Levels Low,Hessle Audio,https://wordsofbruce.bandcamp.com/album/sonder-somatic
Benbo,Ready When You Are, Loosee,https://benbow.bandcamp.com/album/ready-when-you-are
