artist_name,track_name,label,url
Roaming Data,DC9V,Outhouse Sounds,https://outhousesounds.bandcamp.com/album/roaming-data-brickphone-cartel-ep-ohs012
Skream,Midnight Request Line,Tempa,https://www.beatport.com/track/midnight-request-line-original-mix/823394
Roza Terenzi & jd,Memories of the Secret,Step Ball Chain,https://stepballchain.bandcamp.com/album/roza-terenzi-jd-third-nature
Davide Piras,Resolution,Dansu Discs,https://davidepiras.bandcamp.com/album/the-strange-case-of-ep
Burnski x Kepler,Want it,Constant Sound,https://constantsound.bandcamp.com/album/burnski-x-kepler-what-we-going-to-do
2 Bad Mice,Waremouse (Remix),Moving Shadow,https://www.beatport.com/release/hold-it-down-waremouse-bombscare-2-bad-mice-remix/155376
Mumdance & Logos,In Reverse P.I.V,Keysound,https://www.beatport.com/track/in-reverse-piv/4847763
Pushaman,Helsmoortel,Brick Sweat Records,https://bricksweatrecords.bandcamp.com/album/rave-generator-ep
Deetron,Ego Rave A,Running Back,https://deetron.bandcamp.com/album/ego-rave
M.Bootyspoon,2nd Mistake (Traxmen x Ayya),Self-released,https://martynbootyspoon.bandcamp.com/album/3-for-fr33
Youngstar \ Hindzy D,Pulse Target,Self-released,https://theoriginalhindzyd.bandcamp.com/album/lost-files-by-hindzy-d-2
DONIS,Dreamscape,HAUS of ALTR,https://hausofaltr.bandcamp.com/album/hoa010
Undivulged,De Eerste,Undivulged,https://undivulged.bandcamp.com/album/de-eerste-drie-2
re:ni,Reverse Rave,Ilian Tape,https://iliantape.bandcamp.com/album/itx023-revenge-body
Kush Arora,Bronze Riddim,Club Yeke,https://clubyeke.bandcamp.com/album/vision
Kanye West,We Don't Care,Roc-A-Fella,https://www.discogs.com/master/6983-Kanye-West-The-College-Dropout
