artist,track_name,label,url
Manuel Gonzales,SAVE HERE,100 Limousines,https://mgun1.bandcamp.com/album/days-gone-by

Louis Carnell & Laraaji,eleven,Mute,https://boomkat.com/products/eleven-50a07271-9646-4f5b-8ff1-6ab4c543e82e
panasonic,Zoviet France (Remix),Sahko,https://sahkorecordings.bandcamp.com/album/remix-ep
Sandwell District,Reykjavik,Point Of Departure,https://store.pias.com/release/435635-sandwell-district-where-next-
MYK DERILL,Hard Smoke,Knotweed Records,https://philippepetit.bandcamp.com/album/kw055-hard-smoke
G-Man,K2,Self-released,https://g-man-techno.bandcamp.com/album/remastered-part-two
DJ SWISHA,LARRY OG (OLDHEAD MIX),Self-released,https://djswisha.bandcamp.com/album/yung-oldhead
Feph,Kinetics,Palinoia,https://palinoiarecords.bandcamp.com/album/kinetics-ep
Ikonika,Details (Girl Unit Remix),Night Slugs,https://ikonika.bandcamp.com/album/details
Klein Zage & Joey G ii,Folks Not Guys,Rhythm Section,https://wearerhythmsection.bandcamp.com/album/from-new-cross-to-ridgewood
Shygirl,Making The Beast (Extended),Fabric,https://fabricrecords.bandcamp.com/album/fabric-presents-shygirl
Alex Jones,Bucks Phenomena,Hypercolour,https://hypercolour-records.bandcamp.com/album/bucks-phenomena
Valo,Principal Parachutes (Three),H-Productions,https://h-productions.bandcamp.com/album/the-lost-psalms-hpx128
Deena Abdelwahed,Complain (Ehua Remix),InFiné,https://deenabdelwahed.bandcamp.com/album/jbal-rrsas-remixes
DJ Pitch & MLE,Proto Windmill,All Centre,https://allcentre.bandcamp.com/album/cheap-gifts-for-your-boyfriend
Saoirse,Mangomouse,Peach Discs,https://saoirsemusic.bandcamp.com/album/the-monogamous-ep
Hurdslenk,False Pretence,Hardgroove,https://bensims.bandcamp.com/album/outside-ep
Nyksan x Moa Pillar,Aló ma,TraTraTrax Records,https://bleep.com/release/431524-nyksan-x-moa-pillar-al-ma
Regis,Asbestos (Sleeparchive Remix),Infrastructure New York,https://infrastructurenewyork.bandcamp.com/album/asbestos-remix-left
Discrete Circuit,Blue Slate,Subhills,https://subhills.bandcamp.com/album/nerve-stimulation-ep
MoMA Ready,Levitator,Self-released,https://momaready.bandcamp.com/album/body-23
E-Saggila,N3n,Northern Electronics,https://northernelectronics.bandcamp.com/album/gamma-tag
Phasmid,Double Negative,Taipan Trax,https://taipantrax.bandcamp.com/album/tt001
Tribal Dubs,Anunnaki VIP,Skull Attack Records,https://skullattackrecords.bandcamp.com/album/anunnaki-vip
Ayesha,Tactilia,Kindergarten,https://kindergartenrecords.bandcamp.com/album/rhythm-is-memory
TAH,IN NEED OF A HOBBY,Self-released,https://tahison.bandcamp.com/album/30-lessons
Bianca Oblivion & Onhell,Sinais (Estoc Remix),naafi,https://biancaoblivion.bandcamp.com/album/sinais-remixes
Manga Saint Hilare x MoreNight,Level & Size Ft Queenie,MoreNight,https://morenight.bandcamp.com/album/level-size-manga-st-hilare-morenight-ft-queenie
Rizla Ops,Aphid,Nostro Hood System,https://nostrohoodsystem.bandcamp.com/album/aphid-ep
Ariel Zetina,Shade Rattle,foundation.fm,https://foundationfmrecords.bandcamp.com/album/bodies
J. Albert & Holodec,Our Angels,SAGA,https://saga.bandcamp.com/album/j-albert-holodec-dedicated-our-angels
