artist_name,track_name,label,url
Shoichiro Hirata,Waiting at the Cafe,Tokimeki Memorial 3,https://vgmdb.net/album/17514
pentagon,Heal,ICO,https://www.beatport.com/track/heal-original-mix/11790284
Unknown,06_C_Ros,Street Fighter III,https://www.zophar.net/music/playstation2-psf2/street-fighter-iii-3rd-strike
Koji Hayama,The Blue Baboon,Ape Escape 2,https://www.originalgamescores.com/ape-escape-2
The Future Sound of London,Papua New Guinea [Hybrid Mix],WipEout: Fusion,https://vgost.fandom.com/wiki/The_Future_Sound_of_London
Victor Entertainment,Synthetic Pulse,Tekken 5,https://vgmdb.net/album/1372
Cirrus,Stop & Panic,FIFA 2002,https://www.beatport.com/track/stop-and-panic-original-mix/1359683
Shawn Lee,Vendetta Jocks,Bully,https://vgmdb.net/album/3955
Graeme Norgate,Multiplayer ~ Streets,Timesplitters,https://graemenorgate.bandcamp.com/album/timesplitters-original-soundtrack
Marty O'Donnell & Michael Salvatori & Paul Sebastien,East Wind,Oni,https://www.discogs.com/release/17209384-Marty-ODonnell-And-Michael-Salvatori-And-Paul-Sebastien-Oni-Soundtrack
DJ Sandy vs. Housetrap,Overdrive (Junkie XL Remix),FIFA 2002,https://www.discogs.com/release/168113-DJ-Sandy-Vs-Housetrap-Overdrive
Terpsichord,The Bells,FIFA 2002,https://www.discogs.com/release/38856-Terpsichord-The-Bells
Yū Miyake,Wanda Wanda,Katamari Damacy,https://siivagunner.fandom.com/wiki/WANDA_WANDA_(PAL_Version)_-_Katamari_Damacy
Yui Asaka,Roll Me In,Katamari Damacy,https://katamari.fandom.com/wiki/Roll_Me_In
Norihiko Hibino,Electronica Emma,Metal Gear Solid 2,https://metalgear.fandom.com/wiki/Metal_Gear_Solid_2:_Substance_Original_Soundtrack_-_Ultimate_Sorter_Edition
Victor Entertainment,Turbo Electric,Tekken 5,https://vgmdb.net/album/1372
Tim Follin,Aquamarine Bay,Ecco the Dolphin,https://musicbrainz.org/release/74cd078f-a9c5-41bc-b821-db8f5e4e3474
Akira Yamaoka,Laura Plays The Piano,Silent Hill 2,https://silenthill.fandom.com/wiki/Laura_Plays_the_Piano
Unknown,Track 14,PES 3,https://downloads.khinsider.com/game-soundtracks/album/pro-evolution-soccer-3-world-soccer-winning-eleven-7-playstation-2
Norihiko Hibino,Starboard,Metal Gear Solid 2,https://siivagunner.fandom.com/wiki/Starboard_(Short_Version)_-_Metal_Gear_Solid_2:_Sons_of_Liberty
Sly Boogy,That'z My Name,Need for Speed Underground 2,https://downloads.khinsider.com/game-soundtracks/album/need-for-speed-underground-2
pentagon,Continue,ICO,https://teamico.fandom.com/wiki/Ico_~Melody_in_the_Mist~
Lektor Scopes,Dirty Games,Night Slugs,https://nightslugs.bandcamp.com/album/my-intentions-dirty-games
Cleyra,Triumph,Club Night Club,https://clubnightclub.bandcamp.com/album/soft-bloom
Yazzus,Human Error Processor,Tresor,https://yazzus.bandcamp.com/album/black-metropolis
Maara,Can't Slo Down,Kalahari Oyster Cult,https://kalaharioystercult.bandcamp.com/album/fancy-feast
MoMA Ready,For You,HAUS of ALTR,https://hausofaltr.bandcamp.com/album/hoa021
Son of Philip,Raleigh Banana,Fever AM,https://www.beatport.com/release/its-not-a-bug-its-a-feature/3848315
DJ Tobzy Imole Giwa,GEGEGETA REMIX,Nyege Nyege Tapes,https://nyegenyegetapes.bandcamp.com/album/cruise-beat-album
Jabes,Body Said No,Timedance,https://jabes.bandcamp.com/album/ripples-body-said-no
Interplanetary Criminal & DJ Cosworth,Untitled A,Hot Haus Recs,https://interplanetarycriminal.bandcamp.com/album/untitled
EL BLANCO NINO,Use Your Heart,Self-released,https://elblanconino.bandcamp.com/album/blanco-end-of-summer-jams-again
Davis Galvin,Pirtec,Self-released,https://davisgalvin.bandcamp.com/album/meratana
Ciel & Ali Berger,I've Been Reaching for the Stars,Jacktone Records,https://jacktonerecords.bandcamp.com/album/damn-skippy
Ray Kandinski,Put Em Up,HAUS of ALTR,https://hausofaltr.bandcamp.com/album/hoa021
Yuto Takei,Wet 50,Maloca,https://maloca.bandcamp.com/album/ma-ep
Glances,'Swagger In Bricks',Idle Hands,https://idlehands.bandcamp.com/album/idle065
Data Theft,Data Loss,Rat Life Records,https://ratliferecords.bandcamp.com/album/data-theft
SANTIAGO SALAZAR,Europa (DJ Dex Remix),Yaxteq,https://santiagosalazar.bandcamp.com/album/dedicated-ep
Byron The Aquarius,Success,Heist Recordings,https://byrontheaquarius1.bandcamp.com/album/akira-ep
JOANNE ROBERTSON,high noon,World Music,https://www.discogs.com/release/15898200-Joanne-Robertson-Painting-Stupid-Girls
A.R. Kane,Green Hazed Daze,Luaka Bop,https://a-r-kane.bandcamp.com/album/americana
