artist_name,track_name,label,url



Stone,Glyph,3XL,https://bblisss.bandcamp.com/album/earth-ff
Kucka,Not There,LuckyMe,https://boomkat.com/products/not-there-ecf1ec0e-b74c-4d4a-88bb-04dc8ab849dc
Eli Keszler,Dawn (duendita Remix), LuckyMe,https://boomkat.com/products/dawn-duendita-remix


Rainy Miller,There's A Fiesta MkII On Fire,HEAD II,https://boomkat.com/products/desquamation-fire-burn-nobody
Babyfather,1471,World Music,https://boomkat.com/products/1471-be313412-24e3-44e2-9bc5-1b29179a1c61
Hagan,Royal Jama,Python Syndicate Music,https://boomkat.com/products/textures-744288e1-1a19-40ff-8de7-fb4d1fac9dbf


Rotrum,Panko,MIDA,https://mida.bandcamp.com/album/panko-2
dreamcastmoe & ZDbt,Love Songz,Spectral Sound,https://boomkat.com/products/love-songz-ea4638b3-35fb-49db-a019-639342b91320
Maykretch,ライトを見る,self-released,https://maykretch.bandcamp.com/album/--14



Councils of the Future,Pleased to Meet You,self-released,https://councilsofthefuture.bandcamp.com/track/pleased-to-meet-you


Second Skin,No Escape,Blueprint Records,https://blueprintrecords.bandcamp.com/album/second-skin-e-p
Roseen,Pattern 2,Ausgang,https://ausgang-music.bandcamp.com/album/versions-pt-2


Dream_E,Musli,Craigie Knowes,https://craigieknowes.com/track/ullakrew
JWords,Update (Abun-Dance),HAUS of ALTR,https://hausofaltr.bandcamp.com/album/hoa021


Ariel Zetina,Smooch Track,Local action,https://boomkat.com/products/cyclorama-85eba11f-e7a1-458d-bb20-719b90b1c890
PHILIPPE PETIT,Last Call,Knotweed Records,https://philippepetit.bandcamp.com/album/kw050-last-call


Parano,New York News,Format Records,https://formatrec.bandcamp.com/album/intoxeon-ep
DJ SWISHA,WABBLEDEEDABBLEDEE,HAUS of ALTR,https://hausofaltr.bandcamp.com/album/hoa021
