artist,track_name,label,url

LUKID,How It's Made,Glum,https://lukid.bandcamp.com/album/tilt
Ell Murphy,Emotional (DJ Crisps Remix),Jucey Tunes,https://ellmurphy.bandcamp.com/track/emotional-dj-crisps-remix
Hodge,Synchronized Swimming,Peach Discs,https://peachdiscs.bandcamp.com/album/shanti-celeste-hodge-bounce-ep
Cleveland,Mano,Kalahari Oyster Cult,https://kalaharioystercult.bandcamp.com/album/lola-ran
Honeydrip featuring Shanique Marie,System,Banoffee Pies,https://honeydripworldwide.bandcamp.com/album/psychotropical
Young Muscle,Club Apparitions,Scuffed,https://youngmuscle1.bandcamp.com/album/club-apparitions
DJ ZNOBIA,Cuba em Angola,Nyege Nyege Tapes,https://nyegenyegetapes.bandcamp.com/album/inventor-vol-1
Sam Goku,spirit beat,Self-released,https://samgoku.bandcamp.com/album/glistening-club-music-vol-3
Boofy,More Or Less,Sector 7 Sounds,https://sector7sounds.bandcamp.com/album/10-10
IYA SHILLELAGH,WaterWeight,FELT,https://f-e-l-t.bandcamp.com/album/waterweight
Frisco & INFAMOUSIZAK,Bad & Clean (Remix),,
Verraco,jajaja,Voam,https://voam.bandcamp.com/album/esc-ndaloo
Siu Mata & Amor Satyr,Mhkl,WAJANG,https://wajang.bandcamp.com/album/nechung-2
DJ Jesse & DJ Nervoso,Estrago Terrivel,Príncipe,https://principediscos.bandcamp.com/album/djs-di-guetto
Herron,The Files Try Fly,Self-released,https://herronsound.bandcamp.com/album/lake
Murlo,Calcium,Coil Records,https://djmurlo.bandcamp.com/album/puckle
Otim Alpha,Lok Lobo Cwero Cwinya,Nyege Nyege Tapes,https://nyegenyegetapes.bandcamp.com/album/gulu-city-anthems
Tristan Arp,Polymer,SLINK,https://tristanarp.bandcamp.com/album/the-self-elastic
DJ Manny,Time Travel,Planet Mu,https://djmanny1.bandcamp.com/album/control-ep
Buttechno x Tris,Ent-22,Self-released,https://buttechno.bandcamp.com/album/in-your-head
"Sully, Coco Bryce, Dwarde & Tim Reaper",Synergy (Sully Remix),Future Retro London,https://futureretrolondon.bandcamp.com/album/synergy
MINOR SCIENCE,Casheine,AD 93,https://minorscience.bandcamp.com/album/064
Florentino,Con Luz,XL Recordings,https://djflorentino.bandcamp.com/album/kilometro-quinze
Airhead,Ghosts in CS,Hemlock Recordings,https://airhead.bandcamp.com/album/lightness
Rukus & Shanique Marie,Ride or Die (Tim Reaper Remix),NICE UP! Records,https://niceuprecords.bandcamp.com/album/ride-or-die
Basic Rhythm,A Midsummer Night's Dream,Musique Nocturne,https://basicrhythm.bandcamp.com/album/a-midsummer-nights-dream
Jorja Smith, Little Things (Nia Archives Remix),,
Smd,Smd#3a (Slipmatt & Kutski Remix),,
