artist_name,track_name,label,url
Death Is Not The End,Pure Niceness (Flashlight III),Death Is Not The End,https://deathisnot.bandcamp.com/album/pure-wicked-tune-rare-groove-blues-dances-house-parties-1985-1992
rRoxymore,At the Crest,Smalltown Supersound,https://rroxymore.bandcamp.com/album/perpetual-now
Tammo Hesselink,BBR,Blank Mind,https://blankmindlabel.bandcamp.com/album/silicon
Resoe,Chordiology,Primary Colours Music,https://primarycoloursmusic.bandcamp.com/album/nocturnal-waves
Works of Intent,Limitless Leisure,Obscura Music,https://fedele.bandcamp.com/album/the-sound-of-obscura
La Dame,"Non Ducor, Duco",https://ladame.bandcamp.com/album/zumbidos,Banoffee Pies Records
EL BLANCO NINO,Digital Cloud,Self-released,https://elblanconino.bandcamp.com/album/35
Majorettes,House Amazing (Jubilee Remix),Major Records,https://majorrecords.bandcamp.com/album/remixes-vol-3-house-amazing
FUMIYA TANAKA,UFO Test 1,Minibar,https://www.beatport.com/track/ufo-test-1-original-mix/6593778
Pearson Sound,Freefall,Hessle Audio,https://music.pearsonsound.com/album/red-sky-ep
TAH,U Know What U Are,Self-released,https://tahison.bandcamp.com/album/threes
Ariel Zetina,Tropical Depression,Local Action,https://boomkat.com/products/cyclorama-85eba11f-e7a1-458d-bb20-719b90b1c890
PHILIPPE PETIT,Last Call,Knotweed Records,https://philippepetit.bandcamp.com/album/kw050-last-call
DJ Pistachio,DBJ,pavilion,https://10961.bandcamp.com/track/dbj
Toumba,Multipack of Limes,Hypnic Jerks,https://toumba.bandcamp.com/album/rosefinch
Dyslecta,Left on Para,Out of Sorts,https://outofsortsrecs.bandcamp.com/album/dyslecta-panzer-oos003
Polygonia,Geronticus Eremita,ARA,https://polygonia.bandcamp.com/album/living-patterns
DJ Delish,WRISTBAND (FEAT. CHAZZI),Self-released,https://djdelish.bandcamp.com/album/proper-faggotry
Regal86,Ven pa' la discoteca,Self-released,https://regal86.bandcamp.com/album/loops-pa-la-discoteca
MoMA Ready,For You,HAUS of ALTR,https://hausofaltr.bandcamp.com/track/for-you
Brunson,Blue Striped Felix,Tresor Records,https://tresorberlin.bandcamp.com/album/hug-your-friends
T5UMUT5UMU,Bottomless Valley (Bottomless Valley),HAKUNA KULALA,https://hakunakulala.bandcamp.com/album/sea-of-trees
Cooly G,Digitally Higher,Night Slugs,https://nightslugs.bandcamp.com/album/night-slugs-allstars-x
PHILIPPE PETIT,One More,Knotweed Records,https://philippepetit.bandcamp.com/album/kw050-last-call
Rafiki,4cid,Reel Long Overdub,https://reellongoverdub.bandcamp.com/album/reel-small-world-india
Kahn,Abattoir,DEEP MEDi,https://kahn-deepmedi.bandcamp.com/album/abattoir-over-deh-so
Mala,Stand Against War,DMZ,https://hotflush.bandcamp.com/album/sounds-of-sub-stance
Cleyra,Ruk,Club Night Club,https://clubnightclub.bandcamp.com/album/soft-bloom
PVLV,Flow State,Holding Hands,https://holdinghandsrecords.bandcamp.com/album/flow-state-ukraine-humanitarian-appeal-fundraiser
Mr. G,Eye Poke (Original Mix),Rekids,https://boomkat.com/products/retrospective-9208fa89-34a7-4af0-8ee1-14ce36638fb3
Drexciya,Under Sea Disturbances,Tresor,https://tresorberlin.bandcamp.com/album/harnessed-the-storm
David Spanish,A Little Bit Of Both,4lux Recordings,https://4luxrecordings.bandcamp.com/album/night-crash
Mansur Brown,Meikai,AMAI,https://mansurbrown.bandcamp.com/album/naqi-vol-2
