artist_name,track_name,label,url
Biluka Y Los Canibales,Manuco,Honest Jon's,https://honestjonsrecords.bandcamp.com/album/leaf-playing-in-quito-1960-1965
Toro Y Moi,Last Year,self-released,https://toroymoi.bandcamp.com/album/mahal
Wilson Boateng,Asew Watchman,Kalita Records,https://boomkat.com/products/borga-revolution-ghanaian-music-in-the-digital-age-1983-1992-volume-1
Robson Jorge & Lincoln Olivetti,Eva,Mr Bongo,https://boomkat.com/products/luke-una-presents-e-soul-cultura
5AM,Years,Air Texture,https://airtexture.bandcamp.com/album/air-texture-viii
Wax,WDYM, self-released,https://waxogm.bandcamp.com/album/hunger-or-greed
SAUL,Coalesce (ft Natty Wylah),Rhythm Section International,https://wearerhythmsection.bandcamp.com/album/mutualism
Camiflage,Fake Carbonara ft Gorda Ramsay,Snaretrade,https://snaretrade.bandcamp.com/album/snaretrade001
Moor Mother,RAP JASM (feat. AKAI SOLO & Justmadnice),ANTI,https://moormother.bandcamp.com/album/jazz-codes
Tirzah featuring Fauzia,Tectonic (FAUZIA Remix),Domino,https://tirzah.bandcamp.com/album/highgrade
Luis,we still or nah,AD93,https://djpythonnyc.bandcamp.com/album/057-schwyn
The Maghreban,Got Your Number [Boss Mix] (feat Nah Eeto),Zoot Records,https://maghreban.bandcamp.com/album/got-your-number
Robert Fleck,Bromine,Well Street Records,https://boomkat.com/products/bromine-3faad656-7df4-430b-aeff-991bd7922f83
DJ Pitch,Fractured Collectivity,Spiritual Claustrophobia,https://tobagotracks.bandcamp.com/album/spiritual-claustrophobia
Headley Bennett,Head Charge,On-U Sound,https://boomkat.com/products/35-years-from-alpha-525b4cc2-d614-489c-a022-f62155393fdd
XRA (Lurka & Bruce),Invisible (Vocal Mix),XRA,https://xramusic.bandcamp.com/album/xra001
Stephen Brown,Medusa (Original Mix),Technorama Records,https://technoramarecords.bandcamp.com/album/medusa
Allstars,Walk on by vip,Groovechronicles recordings,https://boomkat.com/products/walk-on-by-vip-cj-reign-dj-ski-mixes
Murder He Wrote,Drop,self-released,https://murderhewrote.bandcamp.com/album/50-50-ep
Bodhi,Get Up (Original Mix),Hot Haus,https://uttu.club/album/get-up
Ploy,Stinky,Deaf Test,https://boomkat.com/products/unit-18
The People In Fog,New Period feat. Hiroyuki Kato,Sound Of Vast,https://soundofvast.bandcamp.com/album/1977
Endless Mow,Merrily I hastened to the chicken shoppe,All centre,https://allcentre.bandcamp.com/album/merrily-i-hastened-to-the-chicken-shoppe-beno-soft
Two Shell,Memory,Mainframe Audio,https://twoshell.bandcamp.com/album/icons
Peder Mannerfelt,All In Your Hands (HD Version),Peder Mannerfelt Produktion,https://boomkat.com/products/all-in-your-hands
Pangaea,Fuzzy Logic,Hessle Audio,https://pangaeauk.bandcamp.com/album/fuzzy-logic-still-flowing-water
Muhammad Taha,Infinity,Sungate,https://sungaterec.bandcamp.com/album/eternity
Nsasi & Safiyahh,Kyijana Mu Bwengula,Never Normal,https://nevernormalrecords.bandcamp.com/album/gukuba-presented-by-anti-mass-collective-x-never-normal-soundsystem
Vox Populi!,Golpari June,Touch Sensitive,https://touchsensitiverecords.bandcamp.com/album/psyko-tropix
Kaidi Tatham,Galaxy feat Lola Vialet,Kaidi Tatham,https://kaiditatham.bandcamp.com/album/galaxy
FILM,Rush,self-released,https://filmbeatz.bandcamp.com/album/film
Pangaea,Majestic 12,Hessle Audio,https://pangaeauk.bandcamp.com/track/majestic-12
Noda & Wolfers,奇妙な秋 Strange Autumn,Nightwind,https://legowelt.bandcamp.com/album/tascam-space-season
Frisco & Shanti Force & Odumodublvck,Albany Close,The Den,https://music.apple.com/gb/album/tottenham-ep/1616533943
Jackson Ryland,Think Pleasant Thoughts (Pressure Mix),Pleasant Life,https://pleasant-life.bandcamp.com/album/simple-wants
