artist_name,track_name,label,url
O. G. JIGG,Softly Approach The Castle,memotone,https://memotone.bandcamp.com/album/dominion-window-2
Gallery S,The Presence,HAUS OF ALTR,https://hausofaltr.bandcamp.com/album/hoa020-no-future-for-cowardice
Lack,Squeeze,Peder Mannerfelt Produktion,https://pedermannerfeltproduktion.bandcamp.com/album/pm-v-a-vol-2
Azu Tiwaline & Al Wootton,Nine Points,Livity Sound,https://azutiwaline.bandcamp.com/album/alandazu-e-p
A²,Open Your Mind,R.A.N.D. Muzik,https://randmuzikrecordings.bandcamp.com/album/rm12015
SIMO CELL X LB PROJECT,SPLEEF THE RAG (DANCEWORKS MIX),N.A.A.F.I,https://naafi.bandcamp.com/album/pirata-5
Lauren Flax,She Can Get The Strap,Super Rhythm Trax,https://superrhythmtrax.bandcamp.com/album/the-sweat-ep
Beautiful Swimmers,The Zoo,L.I.E.S.,https://liesrecords.bandcamp.com/album/music-for-shut-ins
Oklou,God's Chariot (SH Remix),Welt Discos,https://weltdiscos.bandcamp.com/track/oklou-gods-chariot-sh-remix
Morose,Holy Ghost,Kalahari Oyster Cult,https://kalaharioystercult.bandcamp.com/track/morose-holy-ghost
Murder He Wrote,Operate,Rhythm Athletic,https://murderhewrote.bandcamp.com/album/50-50-ep
Farsight,Tusi,femme culture,https://femmeculture.bandcamp.com/album/heforshe-x-femme-culture-vol-4
Angel D'lite,CRYSTALZ (DIAMANTÈ MIX),Banoffee Pies,https://angeldlite.bandcamp.com/album/dolphins-have-sex-for-pleasure
Wizzbit,BREAKDOWN,Slimzos Recordings,https://geeneus.bandcamp.com/track/breakdown
Shake,DRUMMER DOWNSTAIRS,FIT SOUND,https://fitsound.com/album/fit-003-shake-trackin
FILM,DBRK,Self-released,https://filmbeatz.bandcamp.com/album/film
Ugandan Speed Trials,Untitled 2 (REGIS Mix),Osiris Music,https://store.osirismusicuk.co.uk/album/ugandan-speed-trials-regis-mixes
Junes,Transport Express,Dote,https://junes1.bandcamp.com/album/transport-express
Gramrcy & John Loveless,Highdive (Beats Mix),Phantasy Sound,https://johnloveless.bandcamp.com/album/highdive
Robert Hood,Still Hear,Music Man Records,https://www.discogs.com/release/779860-Robert-Hood-Hoodmusic-2
Filter Dread,Space Beams,Sneaker Social Club,https://sneakersocialclub.bandcamp.com/album/space-beams-ep
Kepler,Bloom,R.A.N.D. Muzik,https://randmuzikrecordings.bandcamp.com/album/rm12016
Undivulged,Flink,Undivulged,https://undivulged.bandcamp.com/album/omin-vol-1
23.4,Stripped,Sungate,https://sungaterec.bandcamp.com/album/stripped
Voiski,Ideodelika,Delsin,https://voiski.bandcamp.com/album/the-end-of-fiction-ep
Angel D'Lite,303 Dalmatians,Planet Euphorique,https://planeteuphorique.bandcamp.com/album/303-dalmatians
Zenker Brothers,Look Precisely,ILIAN TAPE,https://iliantape.bandcamp.com/album/it050-hidden-shelter
Locked Club,Smog Izdevatsya,System 108,https://system108.bandcamp.com/album/seven-years-of-love-part-1
Mez,Conform Instrumental,Self-released,https://mezyeah.bandcamp.com/album/mez-instrumentals-001
Nammy Wams,Punk,AP Life,https://aplife.bandcamp.com/album/paradise-south-001
DJ Finn,Everything Is Alright,2 B Real,https://finnmccorry.bandcamp.com/album/everything-is-alright
I. JORDAN,First Time Back,Ninja Tune,https://i-jordan.bandcamp.com/album/always-been
