artist,track_name,label,url
Baba Stiltz,Stockholm (Klara Lewis Remix),Public Possession,https://babastiltzofficial.bandcamp.com/album/stockholm-remixes
TOM OF ENGLAND,The Mammal Meets Crazy Girl,TTT,https://www.discogs.com/release/11672571-Tom-Of-England-The-Care-To-Destroy-EP
Klein,gully creepa,Parkwuud Entertainment,https://klein1997.bandcamp.com/album/marked
Noda & Wolfers,Supernatural Mixing Desk,L.I.E.S,https://legowelt.bandcamp.com/album/tascam-space-season
Sikka Rhymes,Seh Dem Bad,Duppy Gun,https://duppygun.bandcamp.com/track/seh-dem-bad
Golden Teacher,Rave Instigator,Sounds of the Universe,https://goldenteacher.bandcamp.com/album/divine-rave-instigator
Alice Smith,Love Endeavor (Maurice Fulton Mix),Mister Saturday Night,https://www.discogs.com/release/803258-Alice-Smith-Love-Endeavor
Samo DJ,Flyer Edit,Public Possession,https://www.discogs.com/release/6953961-Various-Various-Artists-Compilation
George Duke,I Want You for Myself (Theo Parrish edit),Sound Signature,https://soundsignature.net/product/theo-parrish-lovely-edits-vol-1/
Pazazz,The Right One (The Kenny Dope Remix),Now-Again Records,https://www.discogs.com/release/7136079-Pazazz-Kenny-Dope-Remixes
G.C. Cameron,Thank You Baby,Soundway Records,https://soundwayrecords.bandcamp.com/album/live-for-love
Kali Malone,Living Torch II,GRM,https://kalimalone.bandcamp.com/album/living-torch
ML Buch,High speed calm air tonight,15 Love,https://mlbuch.bandcamp.com/album/suntub
RIP Swirl,Negative Fantasy feat. untitled (halo),Public Possession,https://boomkat.com/products/hope-u-are-well?taxon_id=107763
Xterea,Get Ya Lick Back,5 GATE TEMPLE,https://xterea.bandcamp.com/album/guardian-of-zeus?label=4240752495&tab=music
TLF Trio,Chrome,latency,https://tlftrio.bandcamp.com/album/new-songs-variations
