artist,track_name,label,url
Courtesy,Ways of Raving (feat. Aaron Altaras and Geoffrey Mak),Against Interpretation,https://courtesy707.bandcamp.com/album/courtesy-intimate-yell-against-interpretation
Kerri Chandler & Jerome Sydenham,System (Helix Remix Instrumental),Self-released,https://1djhelix.bandcamp.com/album/kerri-chandler-jerome-sydenham-system-helix-remix
Rick Wade,Bmore Banger,Eat More House,https://dbh-music.bandcamp.com/album/emh008
Alton Miller,Speaking of the Future/Re Rub the Dub,Self-released,https://altonmiller.bandcamp.com/album/speaking-of-the-future
INVT & K-LONE,Ascenso Dub,"Cuttin' Headz",https://invt.bandcamp.com/album/loca
Mood II Swing,Call Me (Mood II Swing Remix),Music For Your Ears,https://originaldjduke.bandcamp.com/album/call-me-remixes
2401,B/W Flower,Heaven Smile,https://ciao-mammo.bandcamp.com/album/untitled-3
Gari Romalis,Stay Ready,Phonogramme,https://www.beatport.com/es/track/stay-ready/18984492
Formant Value,Funzione II [Notte Infinita Remix],Baroque Sunburst,https://baroquesunburst.bandcamp.com/album/funzione-ep-incl-valentino-mora-notte-infinita-remixes-bsun011
Peverelist,Pulse XV,Livity Sound,https://peverelist.bandcamp.com/album/pulse-echo-e-p
Fixate,Conundrum,EXIT,https://fixateuk.bandcamp.com/album/exitminilp008-fixate-conundrum
Love Letters,Let the Bass Go (Mike Servito's 313 Bass Mix),Interdimensional Transmissions,https://lovelettersmusic.bandcamp.com/album/falling-star-ep-it-54
Shed,TLSQ,Ilian Tape,https://iliantape.bandcamp.com/album/it067-applications
Pavel Milyakov & Torus,the eternal break,Self-released,https://buttechno.bandcamp.com/album/enthropic-vision
coffintexts,Todo Mi Cuerpo,clasico,https://onlycoffintexts.bandcamp.com/album/todo-mi-cuerpo-88-st
Lurka,DreamTek Tool,Fever AM,https://feveram.bandcamp.com/album/its-elastic
Nídia & Valentina,Mata,latency,https://nidiavalentina.bandcamp.com/album/estradas
Horsepower Productions,Classic Deluxe Part Two,Tempa,https://horsepowerproductionstempa.bandcamp.com/album/to-the-rescue
Kenny Hooper,IMAGINATION,ACQUIT RECORDS,https://kennyhooper313.bandcamp.com/album/neon-skies
FREQUENCY,Space Dub Work,Repetitive Rhythm Research,https://repetitiverhythmresearch.bandcamp.com/album/frequency-turn-the-lights
Golden Teacher,Dante and Pilgrim,Optimo,https://goldenteacher.bandcamp.com/album/bells-from-the-deep-end
Rhyw,Drool,Fever AM,https://rhyw.bandcamp.com/album/melt-in-unison
Nick Hook,Can't Tell Me Nothing (ARME Remix),Fools Gold,https://foolsgoldrecs.bandcamp.com/album/cant-tell-me-nothing-feat-novelist
Sorcery,Temporal Shards,47,https://47x47.bandcamp.com/album/species-3
Objekt,Worm Dance,Self-released,https://objekt.bandcamp.com/album/chicken-garaage
GRRL x Made Of Oak,Juno,Psychic Hotline,https://psychichotline.bandcamp.com/album/hardcore
Translate,Scattering,Warm Up Recordings,https://warmuprecordings.bandcamp.com/album/orbital-range-ep-wu98
Introspekt,Come 2 Me (Dub 4x4 Mix),Dekmantel,https://dekmantel.bandcamp.com/album/dekmantel-ten-a-decade-of-dekmantel-festival
Wata Igarashi,Wanderlust,WIP,https://wataigarashi.bandcamp.com/album/wip09
Der Opium Queen,Extra Wet,12th Isle,https://12thisle.bandcamp.com/album/orsova
