artist_name,track_name,label,url
Darcus Howe,Cival Rights Brixton,n/a,https://www.youtube.com/watch?v=RUMQf87aMSY
Skinnyman,Hayden,Low Life Records,https://www.discogs.com/release/377026-Skinnyman-Council-Estate-Of-Mind
Bashy,Fuck the Government,2NV Records,https://www.discogs.com/release/6305461-Bashy-Ur-Mum-Vol-One
Dizzie Rascal,Imagine, XL Recordings, https://music.apple.com/gb/album/showtime/1025316763
Devlin,Community Outcast,O.T Recordings,https://www.discogs.com/release/3986185-Devlin-Tales-From-The-Crypt
Akala x Tommy Robinson,Question Time,n/a,https://www.youtube.com/watch?v=WYWelk1m3Xc&ab_channel=x786123
Thome Yorke,Harrowdown Hill,XL Recordings,https://www.roughtrade.com/gb/product/thom-yorke/the-eraser
Kode9 & The Spaceape,Ghost Town, Hyperdub,https://hyperdub.bandcamp.com/album/five-years-of-hyperdub
Jme,Overly chatty policeman,n/a,https://www.youtube.com/watch?v=eo8n9IpwMCI&list=PLBDA2C7E6634C97E8&index=5&ab_channel=ManBetterKnow
Digital Mystikz,2 Much Chat,DMZ,https://k7records.bandcamp.com/album/dj-kicks-kode9
Ghetts,Invisible,360 Records,https://www.youtube.com/watch?v=JomdcbDRuec
Darcus Howe x BBC,London Riots,n/a,https://www.youtube.com/watch?v=Xdjr64bBosg&ab_channel=ilegal
Peverelist,Dance Til The Police Come,Hessle Audio,https://peverelist.bandcamp.com/album/dance-til-the-police-come
Novelist,Street Politician,self-released,https://www.youtube.com/watch?v=xtqF9bRoU6A
AJ Tracey & Mickey,Grenfell,n/a,https://www.youtube.com/watch?v=4DuKsxtLY58&ab_channel=TheGuardian
P money,sterorype,Butterz,https://www.beatport.com/track/stereotype/8470098
Dave,Question Time,Self-Released,https://music.apple.com/us/album/question-time/1293864767?i=1293864780
klaus,Cry Tuff,Tanum,https://klausmuzik.bandcamp.com/album/tnm004
Lowkey,Ahmed,Mesopotamia Music,https://www.discogs.com/release/13974751-Lowkey-Soundtrack-To-The-Struggle-2
Dave X Brits,London right now,n/a,https://www.youtube.com/watch?v=2UnJR2r3aCo
Shy One & Kwam,The Raid,Astral Black,https://shyone.bandcamp.com/album/spoons
Skepta,Shoreditch Shutdown,n/a,https://www.youtube.com/watch?v=68JQmKitwZc&ab_channel=ManBetterKnow
Kano,Teardrops,Parlophone,https://www.discogs.com/release/14097783-Kano-Hoodies-All-Summer
Krept & Konan X GMB, Drill Music,n/a,https://www.youtube.com/watch?v=OoevRxPeMY8
Snowy & Jason Williamson,EFFED,self-released,https://snow667.bandcamp.com/track/effed
Slowthai,Boris Johnson,n/a,https://www.youtube.com/watch?v=oRJaTz0B9g0&ab_channel=NME
slowthai,Nothing Great About Britain,Method Records,
Mike Skinner X 67 Noisy Doc, Don’t call it Road Rap,n/a,https://www.youtube.com/watch?v=xn-70oSrLgA
Sault,Wildfires,Forever Living Originals,https://saultglobal.bandcamp.com/album/untitled-black-is
Neue Grafik Ensemble,Officer let me go to school,TOTAL REFRESHMENT CENTRE,https://neuegrafik.bandcamp.com/album/foulden-road-part-ii
WALTHAMSTOW DOGS (Feat. SHERELLE),Gentrification,Beautiful,https://beautiful.bandcamp.com/album/beautiful-presents-beautiful-vol-1
GAIKA,White Picket Fences (feat. 6Cib),Mixpak,https://mixpak.bandcamp.com/album/security
Roll Deep, Badman, Roll Deep Recordings,https://www.discogs.com/master/2180056-Roll-Deep-Rules-Regulations
Tempa T,Next Hype (Plastician Vocal Remix), No Hats No Hoods,https://nohatsnohoods.bandcamp.com/track/next-hype-plastician-vocal-remix
Durty Goodz,Brexit,No Hats No Hoods,https://nohatsnohoods.bandcamp.com/track/brexit
Pinch,Border Control,Berceuse Heroique,https://berceuseheroique.bandcamp.com/album/bh-059-pinch-border-control
Big Zuu, Grenfell Tower, GRM Daily,https://www.justgiving.com/grenfellfdn
Mala,Anti War Dub,DMZ,https://mala-music.bandcamp.com/track/anti-war-dub
