artist_name,track_name,label,url
Actress,Dolphin Spray,Smalltown Supersound,https://actress.bandcamp.com/album/statik
Andrea & Alexander,Olias,Sameheads,https://sameheads.bandcamp.com/album/mutantheads-7
Zack Fox,only thing on my mind,Self-released,https://www.youtube.com/watch?v=KId9nWZTuO8
Private Joy,Playful,Rhythm Section International,https://wearerhythmsection.bandcamp.com/album/desire
D.Francis,The Last Samurai,self-released,https://dfrancis.bandcamp.com/album/5-nights-in-detroit-ep-beat-tape
Vincent & The Owl & Nick Catchdubs,Venti Valente (10 Seeded Semolina),Fool's Gold Records,https://foolsgoldrecs.bandcamp.com/album/100-proof
Doctor Zygote & Jam Baxter,All Air,Self-released,https://doctorzygote.bandcamp.com/album/beats-to-use
James Massiah,Hot Forever,Levels,https://jamesmassiah.bandcamp.com/album/true-romance-ep-2
Bo'vel,Check 4 U,AOTN,https://aotns.bandcamp.com/album/changes
Leon Dinero,If You Ask Me,Daptone Records,https://daptonerecords.bandcamp.com/album/leon-dinero-if-you-ask-me-b-w-bandits
Roots Radics,Invaders,VP Records,https://vprecordsofficial.bandcamp.com/album/linval-presents-dub-landing-vol-1
Milton Henry,Now You See The Scene,Wackies,https://hardwax.com/44329/various-artists/jah-children-invasion-vol-6-digital-dawn/
Tiger,Rap Pon Rydim,Dug Out,https://www.discogs.com/release/5206618-Tiger-Rap-Pon-Rydim
G.Q.,Lies,AOTN,https://aotns.bandcamp.com/merch/g-q-lies-is-it-cool-7-vinyl-sale
Soundstream,Sweep Magic,Soundstream,https://sound-stream.bandcamp.com/album/bass-affairs-sst07
Mr. G,Home Alone (on my b'day),Bass Culture Records,https://bassculture.bandcamp.com/album/french-connection-e-p
Felipe Gordon,Wait on You (Say Goodbye),Phonogramme,https://boomkat.com/products/phasing-the-shit
Feel Free Hi Fi,Spring Rain,Digital Sting Records,https://digitalsting.bandcamp.com/album/i-was-so-far-in-i-was-out
L.B. Dub Corp,Saturn To Home,Dekmantel,https://lbdubcorp.bandcamp.com/album/saturn-to-home
Lipelis,Weirdshit Xu Paelk (ft. Simple Symmetry),L.I.E.S,https://www.discogs.com/release/7398141-Lipelis-Lipelis-Edits
Klein Zage & Joey G ii,Folks Not Guys,Rhythm Section,https://wearerhythmsection.bandcamp.com/album/from-new-cross-to-ridgewood
Shabazz Palaces featuring Lavarr the Starr,Take Me To Your Leader,Sub Pop Records,https://shabazzpalaces.bandcamp.com/album/exotic-birds-of-prey
Openmode,arranged,self-released,https://shabazzpalaces.bandcamp.com/album/exotic-birds-of-prey
Doctor Zygote - Ketazocine,Zoot Records,https://boomkat.com/products/ketazocine
Purelink,Loon E,Wisdom Teeth,https://wisdomteethuk.bandcamp.com/album/club-moss
Valentina Magaletti,She/Her/Gone,Cafe Oto,https://valentinamagaletti.bandcamp.com/album/a-queer-anthology-of-drums
John Glacier,Grands!,Young,https://young.bandcamp.com/album/duppy-gun
NxWorries & Anderson .Paak & Knxwledge,WalkOnBy (feat. Earl Sweatshirt & Rae Khalil),Stones Throw Records,https://boomkat.com/products/why-lawd
NAPPYNAPPA,Top Rop Fly_eeng,self-released,https://houseofjoyrecords.bandcamp.com/album/nappynappa-nza-radio-990
Skanna,This Way,Skanna,https://www.discogs.com/release/144936-Skanna-Heaven-EP
Charli XCX,Everything is romantic,Asylum,https://www.roughtrade.com/en-gb/product/charli-xcx/brat-3
King Krule,Whaleshark,Self-released,https://www.discogs.com/release/26591642-King-Krule-Whaleshark
Nuno Beats,Sai Do Coração, Príncipe,https://principediscos.bandcamp.com/album/sai-do-cora-o
Manasseh & Equalizer Feat. Danny Red,Absentee,Partial Records,https://partialrecords.bandcamp.com/album/absentee
